x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
68301.20911927502,68245.89668173432,83122.41194552614,50733.567846228616,42945.08731580768,29246.24923619068,37332.38555727947,24400.051175920496,23195.490060552755,25877.47388833826,51355.32068824702,71784.16768922372
71150.82925997817,78990.86547224357,92484.85402116933,75272.07797085524,51726.90104779826,41623.37136258261,37624.226699867315,32980.05138812417,24244.539434007558,31606.40916402964,52359.071528378365,64210.11954683342
68739.5132211706,59738.66880023294,77109.8731025426,63331.48616370055,48670.43004194597,37172.6344436087,21767.62122086882,17277.357176169462,17447.496612229595,22718.100956549195,35898.69921161002,53661.419312863596
84175.98318888675,91620.57621634283,72523.62748821721,50038.90103713533,29986.209210572797,30621.576917258237,28648.7769903222,22898.82403899272,16429.368508525593,19720.796322847145,31160.148291724472,37723.60693967602
64056.46442475836,58632.637429417744,48102.50167687831,51752.52219800313,38975.61005845789,37832.22955717701,27885.16690930477,26011.77831059459,18857.285069969756,23183.73199337071,40639.267210571415,54196.165621386455
70749.92800705477,78426.4835589486,69351.53526929788,51390.199226768185,38102.24611883294,21961.47105481969,21771.325679139212,19557.25033032107,13238.749410667933,19167.918735867217,26340.349876405624,38807.335545450966
61498.13754457705,75064.5396215075,69269.41203803259,47182.74941802223,44458.063674559424,45025.51825280859,29432.04443730822,29070.43236003013,23723.435486224087,29332.34740416851,43199.281658156164,80360.82090199771
61129.66287791259,64181.526428465186,69555.16289749285,50454.92698097566,37671.14237489961,34275.559083185544,30201.05786992321,21880.189362472844,20090.39529321367,26053.840070879814,35663.05631214656,53089.03870793444
68865.11920951797,104042.06121470722,92051.93545349214,53784.0916471582,36821.84016246709,31903.294646995277,23790.966698621833,26865.453192428424,17721.80111209986,23278.87672127678,31359.68911945281,36014.1914937668
56933.80412461054,68786.05540155846,64731.7772988465,54766.395238530546,38279.263495927706,29355.29755344874,21150.570246013824,17547.51475047716,20876.150499123534,36062.093580060064,55688.91038392026,66396.55790311423
54993.525657096456,56248.01137210749,93146.58991695734,61905.19320834817,57936.14658282807,41653.725688239974,34799.76131571925,27051.334961639677,22841.78767054763,29187.537824855615,36957.785435386446,57297.18907914648
72791.58045859222,67260.07757902509,52454.98881399225,53309.17074525407,42188.94902892671,23865.16068748293,16706.096944438323,12249.278275119636,17948.5282411823,22225.873193998705,30100.16298530346,37294.96503866345
57471.23265312823,76706.97478045947,53353.2690249614,37730.37076417368,25407.273283862844,24292.66881938565,23428.822250355934,19780.606532524416,16841.355125202987,16472.205885906234,28257.661555143826,45963.70810231054
92213.92925931541,87073.15409273443,75683.92429333266,71539.22052227434,57120.690497761534,44055.422677475864,30125.168266386354,27146.265522336074,28578.351290724866,29350.198419925844,39088.74674057396,53452.96602401617
64287.894341348234,69814.9693033115,78602.22280260983,64603.31551249014,51549.80491930984,42408.24710281318,28739.074574857877,24978.346278261168,26167.273089366125,30873.235168051746,61684.237091513394,74889.97721761705
80455.31623010077,80759.59560095026,69586.81984603619,50845.45043812733,48139.89762878914,38436.94033807757,29566.19072109223,23778.85711724928,26789.224432828465,30755.542802542757,32332.28959511201,53394.505020164805
69161.36014785201,61508.12287601125,58447.95126874041,57947.80404051412,40442.954898270946,32844.288814729414,29116.065888774414,18478.95544183603,17547.521707729367,19468.944795676158,30615.43043837946,48861.22545199043
64134.27576922509,63900.84896243826,60894.87502494974,39574.015832971345,32058.369671818215,28979.44572401356,26964.989446695658,25506.062832571344,27052.771490664963,22841.160002842633,27600.460554696074,41223.26849031631
50081.207262054675,46772.163024144524,47436.865567617424,34603.44084196033,29721.73881572657,28218.870462912546,20670.900608199176,18316.976597116387,15743.559914777928,15431.921157252345,15395.642471812402,32532.07201031183
58556.20291501508,61117.492961076125,66685.54058898162,49951.65471922954,30939.946212175593,27638.212611386425,19990.9753116346,19601.551547637893,21068.062494142752,24310.106046468227,32804.43051876282,55473.13170439694
74788.95897991434,81097.96340310003,67014.32396413072,45253.355182798296,35606.04038979637,31720.175676153238,30303.919619981603,17943.31422901741,17815.166342713812,25466.88038853677,37908.944373635655,58264.265852313474
57358.35369772948,61355.54287972217,50671.54491093892,42453.84748726668,30570.65797673704,23358.03014112264,16739.47533220739,10674.037831576316,16476.971808803617,21052.546633880298,21958.82163636142,26476.360626537415
55221.64579776833,59148.389367068165,55858.366397946025,66117.09151816629,50298.22034872439,28497.280363471127,19267.506117068573,12677.303336702667,14868.331488211516,20179.54659281583,28145.402060051947,34690.69013253936
59824.16709144208,50510.57385713277,57646.01337839872,48301.85945350205,46047.27740315818,44599.68317645013,36817.76293533418,26531.366428347395,20357.970787304486,18888.151709551974,31209.89109050121,63464.74185955125
70125.35141915396,68943.12314353952,59770.5824243891,60905.56712831142,48361.264131922915,39475.96809265319,30688.47162082247,26073.532212729046,21597.30172188206,26662.464609726238,42891.769973153074,75377.6350464286
85396.61629007176,76746.96031802116,65449.27932080821,49764.374369273835,37736.137957138606,28357.740389760103,25866.81366278859,17008.19649982875,19091.825606567312,21033.748291160893,32834.23164689513,42561.37294196245
52212.145101906244,69887.18116499975,77799.90347179456,75233.12571965616,56843.06113234824,46664.98080024776,34826.58124007289,23045.873974489983,17416.64331003433,20046.26496749593,27045.713199415222,41482.8241635752
67850.77354607596,59122.413871531644,58258.41078328547,41746.34519595356,31014.56017146927,24855.490642670866,18648.81068499769,14044.81356896119,13504.609732764296,18120.990923222074,21058.398742941466,34744.86877668999
69102.79070597286,94952.68420648997,91905.62823379527,57798.00976114425,56613.97837684893,43124.60246136992,30385.01609366385,24012.71768586192,18782.57082348443,24943.512684247486,33108.727226951305,52023.867675113994
92870.85667660632,90304.787752369,68583.2071736105,54625.09577499528,37626.257488480274,27710.73340922053,19575.59528027583,15834.906896199804,18530.268519929145,23591.99349191696,30213.420158551267,49672.68192674778
50089.96926255634,59507.88649645822,51047.646668226604,43434.57414193349,38041.8957890305,24948.05672232351,25282.6946905034,21128.253263375667,19990.198603059627,22536.14260749227,29510.252263559698,48304.816446536286
55761.05545349255,100160.7514300554,80834.86721797733,84080.78231980793,58042.61165084546,48350.45026336879,38526.05831902557,27891.00215066451,27729.778644245704,28203.155467631736,36993.52169908646,56281.901421416005
63481.12895014257,63295.03725693575,55358.66975501145,43359.50023848854,38208.46150866563,33223.89994481226,18888.630447773514,16544.135835736903,17199.35622797796,16304.683891149085,20912.547256617076,29928.548248831714
70620.12523543034,83781.58202953699,70340.98105433845,55328.21505341921,51533.47824840004,32105.80829233579,26724.814548035618,21799.5361815755,21440.84394539242,25162.39692062591,36539.18651353032,41709.69919529521
61855.55438134424,59292.56817313545,60018.68431944929,42681.30663158197,29269.27892618515,29590.91997182349,20871.20858512542,23396.58250040447,25363.310467430885,28005.122097222888,36214.661863519344,61280.643563468475
76408.33562152703,83215.98041361531,86389.84961312028,69010.19073149619,58892.07030771526,43925.64853234426,33159.85393926813,24664.511508087104,24832.57361173274,24998.93335261745,32228.24466537734,46419.9056218027
60087.48193937983,70505.73124372146,103260.32060058002,65119.274699548434,49502.8085708065,43903.6110348471,38922.6992524494,29603.173721740077,26161.130726518066,25498.280607802197,36184.36639631153,53180.96083294475
53695.208212381345,56643.80645493432,78439.19264785213,70659.03769013869,50800.89456477732,36211.4049687019,36084.34717206963,30829.881397944053,26171.963438725114,28102.758059172473,35038.49168873559,61366.43573358808
67149.69986263798,73242.64721523969,82016.74120608145,68740.94916634282,57019.74475322475,42346.59761415,37838.407540907094,26012.413013423076,20677.26386976359,24285.75279670342,33433.50076502684,58450.53144721845
68099.4220270616,91050.31717831978,81990.40008934007,58391.76812111692,30071.357693618822,19545.04497896122,12753.753254990917,9294.024763273375,14380.174323913036,18156.455988039852,21498.13675004661,30123.485895452934
55919.259296375145,63340.767345011736,50051.116267118254,44650.39066584003,31095.94859866255,30290.1620393474,22302.512654285118,16970.76924401748,20492.265724243643,24159.548701028543,29403.36326801349,42036.78993199047
62254.80260745771,58273.42726989163,57355.197465779216,48791.059692081806,42618.89066886099,32689.497904633845,22538.56483758602,14322.310553550862,14856.93838453578,17858.486150492343,23499.354032365296,37603.1921524501
57234.44809748376,70205.10042670672,66635.31258762396,48107.99762314116,27119.399301943067,24408.831450231253,21013.73837652876,17858.666575965137,14489.039834428155,17517.97772382606,19965.96347400525,29943.640649762805
70004.72787394056,76166.72098324091,81414.17087878773,69032.03698947492,45083.897189396615,30516.659593963923,20125.317562889613,17034.874270543874,16606.81755822786,19638.50243169358,29272.587041854542,52041.103070441284
68057.31613543749,61578.14024923175,56167.02681983514,48039.716883828616,32210.402058395288,34601.55746407896,27044.849237019276,18122.39123141319,18918.038286721046,26612.591824155435,34332.65226141834,53750.77551722095
77270.21047135873,88983.08786200458,73864.04727980697,49517.3562309798,34777.385260490475,29309.02780488886,26530.58226300601,20129.38778786778,24492.368441202692,21707.47347491583,34181.02253975143,61821.05092332163
62536.16823573249,60374.26013093094,56877.1315821611,39057.12736239583,37929.44066016549,26482.328433991832,19339.605700641343,16112.526747595137,15517.729114053804,22563.261433587984,23724.988586959218,32807.22988606092
